# format of this file:
# generation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector]
5	<0.00073186,0.0683275,0.0257942,375.609,0.000544068,0.02656,0.0236278,334.057>	0	<>	<0.0647498,0.045688,0.0538032>
5	<0.000318383,0.0469198,0.0513819,384.373,0.000740875,0.0334907,0.0217681,368.915>	0	<>	<0.0374194,0.120473,0.0827595>
5	<0.000318383,0.0469198,0.0513819,385.599,0.00068714,0.0442175,0.0217681,368.915>	0	<>	<0.0481068,0.104911,0.0850553>
5	<0.000665901,0.0895238,0.0358031,367.012,0.000491842,0.0184179,0.0713461,344.395>	0	<>	<0.0918681,0.0323554,0.088112>
5	<0.000665901,0.0701397,0.0481452,363.787,0.000715617,0.031002,0.0946424,357.916>	0	<>	<0.130787,0.038408,0.561186>
5	<0.000602328,0.0127663,0.0700499,381.989,0.000986102,0.0225593,0.0350867,351.432>	0	<>	<0.188679,0.0430498,0.165208>
5	<0.000665901,0.0701397,0.0481452,364.339,0.000605514,0.031002,0.0595927,344.395>	0	<>	<0.127582,0.0755603,0.100791>
5	<0.000670861,0.0896674,0.0648451,379.717,0.000997009,0.0954469,0.089479,379.114>	0	<>	<0.0864354,0.100897,0.562912>
5	<0.000835334,0.0494965,0.0687656,390.324,0.000825246,0.0277649,0.0550854,352.25>	0	<>	<0.211221,0.0693515,0.171983>
5	<0.000835334,0.0494965,0.0929098,378.583,0.000873684,0.0277649,0.0550854,352.25>	0	<>	<0.116691,0.0880817,0.0900845>
5	<0.000652475,0.0558225,0.0875532,382.076,0.000860463,0.0302555,0.0462212,375.474>	0	<>	<0.0862894,0.202963,0.287295>
5	<0.000835334,0.0494965,0.0929098,381.097,0.00088941,0.0277649,0.0306469,352.25>	0	<>	<0.088943,0.144123,0.127512>
5	<0.000547572,0.0558225,0.0393554,397.628,0.000573456,0.0302555,0.0462212,375.474>	0	<>	<0.304718,0.102343,0.211096>
5	<0.000493275,0.0635668,0.0228055,378.202,0.000684913,0.0154706,0.0454412,378.028>	0	<>	<0.111793,0.224585,0.299493>
5	<0.0005722,0.0520569,0.0610645,379.772,0.000772899,0.0632905,0.0287406,369.883>	0	<>	<0.115139,0.209027,0.296366>
5	<0.000682286,0.0652585,0.0403563,387.809,0.000889496,0.0479884,0.0583591,385.201>	0	<>	<0.187085,0.131213,0.531206>
5	<0.000872257,0.0849706,0.0416371,378.137,0.000811568,0.0555583,0.0378866,351.512>	0	<>	<0.253295,0.128234,0.253431>
5	<0.000896832,0.0713797,0.0641963,382.58,0.000853609,0.0520886,0.0507633,352.564>	0	<>	<0.302653,0.153257,0.291071>
5	<0.000682286,0.0952392,0.0403563,379.247,0.000889496,0.0377653,0.0583591,385.201>	0	<>	<0.150784,0.464734,0.87073>
5	<0.000940762,0.0357763,0.0617433,385.313,0.000955901,0.0536107,0.0572222,356.74>	0	<>	<0.423691,0.193199,0.468998>
5	<0.000714516,0.0511989,0.0473007,389.143,0.000730689,0.0150451,0.0826186,396.845>	0	<>	<0.20455,0.511744,0.621796>
5	<0.000803954,0.0742999,0.0223762,389.899,0.000883238,0.0318442,0.0389061,372.458>	0	<>	<0.400391,0.231138,0.501919>
